Feature,Definition,CURIE,OMOP,A4,ABVIB,ADNI,AIBL,ANM,ARWIBO,BRACE,C-Surv,DOD-ADNI,EDSD,EMIF,EPAD,I-ADNI,JADNI,NACC,NEURO Cohort,OASIS,PREVENT-AD,PharmaCog,ROSMAP,VASCULAR,VITA,WMH-AD,AMED
Left Supramarginal Mean Cortical Thickness,,,,,,ST59TA,,lh_supramarginal_thickness,lh_supramarginal_thickness,,,ST59TA,lh_supramarginal_thickness,,,lh_supramarginal_thickness,lh_(supramarginal)ThickAvg,LSUPMARM,,lh_supramarginal_thickness,,lh_supramarginal_thickness,,,lh_supramarginal_thickness,lh_supramarginal_thickness,
Right Supramarginal Mean Cortical Thickness,,,,,,ST118TA,,rh_supramarginal_thickness,rh_supramarginal_thickness,,,ST118TA,rh_supramarginal_thickness,,,rh_supramarginal_thickness,rh_(supramarginal)ThickAvg,RSUPMARM,,rh_supramarginal_thickness,,rh_supramarginal_thickness,,,rh_supramarginal_thickness,rh_supramarginal_thickness,
Left Transverse Temporal Mean Cortical Thickness,,,,,,ST62TA,,lh_transversetemporal_thickness,lh_transversetemporal_thickness,,,ST62TA,lh_transversetemporal_thickness,,,lh_transversetemporal_thickness,lh_(transversetemporal)ThickAvg,LTRTEMM,,lh_transversetemporal_thickness,,lh_transversetemporal_thickness,,,lh_transversetemporal_thickness,lh_transversetemporal_thickness,
Right Transverse Temporal Mean Cortical Thickness,,,,,,ST121TA,,rh_transversetemporal_thickness,rh_transversetemporal_thickness,,,ST121TA,rh_transversetemporal_thickness,,,rh_transversetemporal_thickness,rh_(transversetemporal)ThickAvg,RTRTEMM,,rh_transversetemporal_thickness,,rh_transversetemporal_thickness,,,rh_transversetemporal_thickness,rh_transversetemporal_thickness,
Left Precuneus Grey Matter Volume,,EFO:0010326,,,,ST52CV,,,lh_precuneus_volume,,,ST52CV,lh_precuneus_volume,,lrprecv,lh_precuneus_volume,lh_(precuneus)GrayVol,LPRECUN,,lh_precuneus_volume,,lh_precuneus_volume,,,lh_precuneus_volume,lh_precuneus_volume,
Right Precuneus Grey Matter Volume,,EFO:0010326,,,,ST111CV,,,rh_precuneus_volume,,,ST111CV,rh_precuneus_volume,,llprecv,rh_precuneus_volume,rh_(precuneus)GrayVol,RPRECUN,,rh_precuneus_volume,,rh_precuneus_volume,,,rh_precuneus_volume,rh_precuneus_volume,
Left Transverse Temporal Grey Matter Volume,,EFO:0010336,,,,ST62CV,,,lh_transversetemporal_volume,,,ST62CV,lh_transversetemporal_volume,,,lh_transversetemporal_volume,lh_(transversetemporal)GrayVol,LTRTEM,,lh_transversetemporal_volume,,lh_transversetemporal_volume,,,lh_transversetemporal_volume,lh_transversetemporal_volume,
Right Transverse Temporal Grey Matter Volume,,EFO:0010336,,,,ST121CV,,,rh_transversetemporal_volume,,,ST121CV,rh_transversetemporal_volume,,,rh_transversetemporal_volume,rh_(transversetemporal)GrayVol,RTRTEM,,rh_transversetemporal_volume,,rh_transversetemporal_volume,,,rh_transversetemporal_volume,rh_transversetemporal_volume,
Right Parahippocampal Area,,,,,,ST103SA,,,rh_parahippocampal_area,,,ST103SA,rh_parahippocampal_area,,,rh_parahippocampal_area,rh_(parahippocampal)SurfArea,,,rh_parahippocampal_area,,rh_parahippocampal_area,,,rh_parahippocampal_area,rh_parahippocampal_area,
Right Paracentral Area,,,,,,ST102TA,,,rh_paracentral_area,,,ST102SA,rh_paracentral_area,,,rh_paracentral_area,rh_(paracentral)SurfArea,,,rh_paracentral_area,,rh_paracentral_area,,,rh_paracentral_area,rh_paracentral_area,
