Feature,Definition,CURIE,OMOP,A4,ABVIB,ADNI,AIBL,ANM,ARWIBO,BRACE,C-Surv,DOD-ADNI,EDSD,EMIF,EPAD,I-ADNI,JADNI,NACC,NEURO Cohort,OASIS,PREVENT-AD,PharmaCog,ROSMAP,VASCULAR,VITA,WMH-AD,AMED
A-beta 1-42 in CSF,The determination of the amount of the 1-42 amino acid beta amyloid protein isoform present in a sample.,NCIT:C84809,3042810.0,,,ABETA,CSF.Ab42_INNX_MELB,,CSF_ABETA42,,AB42CSFPGML,ABETA,CSF_ABETA42,Local_AB42,abeta_1_42_result,CSF_ABETA42,CSF AB,CSFABETA,ab1_42_csf,CSF_ABETA42,Amyloid_beta_1_42,CSF_ABETA42,,,CSF_ABETA42,CSF_ABETA42,
YKL-40 in CSF,The determination of the amount of YKL-40 protein present in a sample.,NCIT:C142294,,,,YKL,,,,,,,,Central_CSF_YKL40,,,,,,,,,,,,,
SNAP-25 in CSF,"Synaptosomal-associated protein 25 (206 aa, ~23 kDa) is encoded by the human SNAP25 gene. This protein plays a role in vesicular transport.",NCIT:C127884,,,,SNAP,,,,,,,,,,,,,,,,,,,,,
Neurofilament Light Protein (NfL) in CSF,"Quantification of the levels of neurofilament light chain, typically in blood or cerebrospinal fluid. Used as a marker of neurodegeneration, in Alzheimer's disease, Amyotrophic Lateral Sclerosis, multiple sclerosis and Huntington's disease.",EFO:0009178,4299446.0,,,CSFNFL,,,,,,,,Central_CSF_NFL,,,,,,,,,,,,,
Visinin-Like Protein 1 (VILIP-1) in CSF,A visinin-like protein 1 that is encoded in the genome of human.,-,,,,VILIP,,,,,,,,,,,,,,,,,,,,,
Neurogranin (NRGN) in CSF,A neurogranin that is encoded in the genome of human.,-,,,,NGRN,,,,,,,,Central_CSF_Neurogranin,,,,,,,,,,,,,
Alpha-synuclein in CSF,"Alpha-synuclein (140 aa, ~14 kDa) is encoded by the human SNCA gene. This protein plays a role in the modulation of presynaptic vesicle transport and release.",NCIT:C90119,4191742.0,,,ALPHA_SYN,,,,,,,,,,,,,,,,,,,,,
Granulocyte Colony Stimulating Factor (G-GCSF) in CSF,"Granulocyte colony-stimulating factor (207 aa, ~22 kDa) is encoded by the human CSF3 gene. This protein is involved in the regulation of the production, differentiation, and function of granulocytes.",NCIT:C26078,37055733.0,,,,,,,,,,,,,,,,,,G_CSF,,,,,,
Interleukin-15 (IL-15) in CSF,"Interleukin-15 (162 aa, ~18 kDa) is encoded by the human IL15 gene. This protein plays a role in the regulation of both proliferation and activation of both T-cells and natural killer cells.",NCIT:C20517,,,,,,,,,,,,,,,,,,,IL_15,,,,,,
Interleukin-8 (IL-8) in CSF,"Interleukin-8 (99 aa, ~11 kDa) is encoded by the human CXCL8 gene. This protein is involved in chemotaxis and neutrophil activation.",NCIT:C20473,,,,,,,,,,,,,,,,,,,IL_8,,,,,,
Vascular Endothelial Growth Factor (VEGF) in CSF,The determination of the amount of vascular epithelial growth factor present in a sample.,NCIT:C92514,4220917.0,,,,,,,,,,,,,,,,,,VEGF,,,,,,
Triggering Receptor Expressed on Myeloid Cells 2 (TREM2) in CSF,"Triggering receptor expressed on myeloid cells 2 (230 aa, ~25 kDa) is encoded by the human TREM2 gene. This protein plays a role in macrophage and dendritic cell immune responses.",NCIT:C125470,,,,MSD_STREM2,,,,,,,,,,,,,,,,,,,,,
Noradrenaline in CSF,The determination of the amount of noradrenaline hormone present in a sample.,NCIT:C74868,,,,,,,,,,,,,,,,,,,,,,,,,
Interleukin-6 (IL-6) in CSF,The determination of the amount of interleukin 6 present in a sample.,NCIT:C74834,,,,,,,,,,,,,,,,,,,,,,,,,
Interleukin-10 (IL-10) in CSF,The determination of the amount of interleukin 610present in a sample.,NCIT:C74806,,,,,,,,,,,,,,,,,,,,,,,,,
Interleukin-12 (IL-12) in CSF,The determination of the amount of interleukin 12 present in a sample.,NCIT:C74808,,,,,,,,,,,,,,,,,,,,,,,,,
Interleukin-23 (IL-23) in CSF,The determination of the amount of interleukin 23 present in a sample.,NCIT:C74820,,,,,,,,,,,,,,,,,,,,,,,,,
Monocyte Chemoattractant Protein 1 in CSF,MCP-1,NCIT:C0540911,,,,,,,,,,,,,,,,,,,,,,,,,
Tumor Necrosis Factor in CSF,The determination of the amount of tumor necrosis factor present in a sample.,NCIT:C74751,4312340.0,,,,,,,,,,,,,,,,,,,,,,,,
Intercellular adhesion molecule 1,A cell-surface ligand involved in leukocyte adhesion and inflammation. Its production is induced by gamma-interferon and it is required for neutrophil migration into inflamed tissue.,NCIT:C0063695,1619926.0,,,,,,,,,,,,,,,,,,,,,,,,
Complement C3 in CSF,The determination of the amount of complement C3 present in a sample.,NCIT:C80174,4017767.0,,,C3,,,,,,,,,,,,,,,,,,,,,
Participant ID,An alphanumeric identifier assigned to a specific patient.,NCIT:C164337,46234739.0,BID,SUBJECT_ID,PTID,AIBL Id,Subject_ID,PatientID,ID,ID,ID,PatientID,TranSMART Subject ID updated,patient_id,PatientID,ID,NACCID,patient_id,PatientID,CONP_ID,PatientID,projid,individualID,PatientID,PatientID,ID
Visit,The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement.,NCIT:C25716,,,VISITNUM,VISCODE,Collection,Month,Time_Point,VISIT NUMB,,VISCODE,Time_Point,VisitTime,visit,Time_Point,VISCODE,NACCVNUM,,Time_Point,Visit_label,Time_Point,fu_year,visit,Time_Point,Time_Point,VISCOD
Biological Sex,The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.,NCIT:C28421,4135376.0,PTGENDER,SEX,PTGENDER,Demographic.Sex,Sex,Gender,F011Gender,SEX,PTGENDER,Gender,Gender,sex,Gender,PTGENDER,SEX,sex,Gender,Sex,Gender,msex,sex,Gender,Gender,PTGENDER
Age,How long something has existed; elapsed time since birth.,NCIT:C25150,4265453.0,PTAGE,"BIRTHMO, BIRTHYR",AGE,Demographic.YearMonthOfBirth,Age,Age,H010Age now,AGEATASS,PTAGE,Age,Age,age_years,Age,,NACCAGE,subjectageyears,Age,Candidate_Age,Age,age_at_visit,samplingAge,Age,Age,FHQAGE
Month of Birth,The month in which a person was born.,NCIT:C83090,4083587.0,,BIRTHMO,PTDOBMM,Demographic.YearMonthOfBirth,Date_Of_Birth,datanasc,F010Date of birth,DOB,PTDOB,,,,,PTDOBMM,BIRTHMO,,Patient'sBirthDate,,,,,,,PTDOB
Year of Birth,The year in which a person was born.,NCIT:C83164,4083587.0,AGEYR,BIRTHYR,PTDOBYY,Demographic.YearMonthOfBirth,Date_Of_Birth,datanasc,,DOB,PTDOB,,,,YOB,PTDOBYY,BIRTHYR,,Patient'sBirthDate,,YOB,,,,,PTDOB
Education,The number of education years that a subject has competed.,NCIT:C122393,1015298.0,PTEDUCAT,EDUC,PTEDUCAT,Demographic.Years of Education Exact,Fulltime_Education_Years,Years_Of_Education,EDUC,EDUYEARSFT,PTEDUCAT,Years_Of_Education,Eduy,years_education,Years_Of_Education,PTEDUCAT,EDUC,,Years_Of_Education,Education_years,Years_Of_Education,educ,yearsEducation,Years_Of_Education,Years_Of_Education,PTEDUCAT
Race,A geographic ancestral origin category that is assigned to a population group based mainly on physical characteristics that are thought to be distinct and inherent.,NCIT:C17049,4013886.0,PTRACE,RACE,PTRACCAT,,Ethnic_Group_Of_Subject,Race,,,PTRACCAT,Race,,ethnicity,Race,PTRACCAT,RACE,,Race,Ethnicity,Race,race7,race,Race,Race,
Ethnicity,A social group characterized by a distinctive social and cultural tradition that is maintained from generation to generation. Members share a common history and origin and a sense of identification with the group. They have similar and distinctive features in their lifestyle habits and shared experiences. They often have a common genetic heritage which may be reflected in their experience of health and disease.,NCIT:C16564,44803968.0,PTETHNIC,HISPANIC,PTETHCAT,,,Ethnicity,,ETHNICBACK,PTETHCAT,Ethnicity,,ethnicity,Ethnicity,,,,Ethnicity,,Ethnicity,spanish,,Ethnicity,Ethnicity,
Marital Status,A demographic parameter indicating a person's current conjugal status.,NCIT:C25188,4053609.0,PTMARRY,MARISTAT,PTMARRY,,Marital_Status,statciv,F037Marital status,MARISTAT,PTMARRY,,,marital_status,,PTMARRY,MARISTAT,,,,,marital_now_bl,,,,PTMARRY
Handedness,The preferred hand of use for controlled and efficient performance of motor tasks.,NCIT:C114182,4211853.0,,HANDED,PTHAND,Demographic.Handedness,,Handedness,HAND,,PTHAND,Handedness,,handedness,Handedness,PTHAND,HANDED,,Handedness,Handedness_interpretation,Handedness,,,Handedness,Handedness,PTHAND
Height,The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension.,NCIT:C25347,37038872.0,VSHEIGHT,,VSHEIGHT,Vital Signs.Height,,Patient'sSize,,HEIGHTCM,VSHEIGHT,,,height,Patient'sSize,VSHEIGHT,HEIGHT,,Patient'sSize,Height,,,height,,,VSHEIGHT
Weight,The vertical force exerted by a mass as a result of gravity.,NCIT:C25208,37111521.0,VSWEIGHT,,VSWEIGHT,Vital Signs.Weight,,Patient'sWeight,,WEIGHTKG,VSWEIGHT,,,weight,Patient'sWeight,VSWEIGHT,WEIGHT,,Patient'sWeight,Weight,,,weight,,,VSWEIGHT
BMI,An individual's weight in kilograms divided by the square of the height in meters.,NCIT:C16358,1027485.0,,,,Vital Signs.Body Mass Index,,,,BMI,,,,,,,NACCBMI,,,CAIDE_BMI_subscore,,bmi,,,,
High Blood Pressure,Blood pressure that is abnormally high.,NCIT:C3117,45883495.0,,,,,,docip,H020Hypertension,,DHBP,,,,,,NACCAHTN,,,Diastolic_blood_pressure,,,hxbp,,,
Living Situation,A description of a personal residence and the relationship between the occupants that reside there.,NCIT:C94852,,,LIVSIT,PTHOME,Demographic.Present Living Arrangements,,,,,PTHOME,,,,,PTHOME,NACCLIVS,,,,,,,,,PTHOME
Country of Residence,The country in which an individual permanently resides.,NCIT:C176365,4216765.0,,,,,,Country_Of_Residence,,,DCITYST,Country_Of_Residence,,,Country_Of_Residence,,,,Country_Of_Residence,,Country_Of_Residence,,,Country_Of_Residence,Country_of_Residence,
Patient Qualification,"The action of verifying that a person, process, product or piece of equipment is suitable for a particular postition or task.",NCIT:C43608,,,,,,Best_Qualifications,titstu,,QUALFHIGHEST,,,,,,,,,,,,,,,,
Profession,A grouping of occupations and fields of study.,NCIT:C19160,,,,,,Best_Job_Held,prof,OCCUP,,DCURDET,,,,,,NACCREFR,,,Work_by_category,,,,,,PTWRECNT
Living Arrangement,A description of a personal residence and the relationship between the occupants that reside there.,NCIT:C94852,36662244.0,,,,,,conviv,F026Accommodation type,,DPARTNR,,,,,,INLIVWTH,rud_accommodation,,,,,,,,
Left Thalamus Volume,,EFO:0006935,,LeftThalamus,,ST61SV,,Left-Thalamus-Proper,Left-Thalamus-Proper,,,ST61SV,Left-Thalamus-Proper,,llthapv,Left-Thalamus-Proper,(Left-Thalamus-Proper)Volume_mm3,,,Left-Thalamus-Proper,,Left-Thalamus-Proper,,Left_Thalamus_Proper,Left-Thalamus-Proper,Left-Thalamus-Proper,
Left Ventral Diencephalon Volume,,UBERON:0001894,,LeftVentralDiencephalon,,ST65SV,,Left-VentralDC,Left-VentralDC,,,ST65SV,Left-VentralDC,,llvendcv,Left-VentralDC,(Left-VentralDC)Volume_mm3,,,Left-VentralDC,,Left-VentralDC,,Left_VentralDC,Left-VentralDC,Left-VentralDC,
Right Thalamus Volume,,NCIT:C12459,,RightThalamus,,ST120SV,,Right-Thalamus-Proper,Right-Thalamus-Proper,,,ST120SV,Right-Thalamus-Proper,,lrthapv,Right-Thalamus-Proper,(Right-Thalamus-Proper)Volume_mm3,,,Right-Thalamus-Proper,,Right-Thalamus-Proper,,Right_Thalamus_Proper,Right-Thalamus-Proper,Right-Thalamus-Proper,
Right Ventral Diencephalon Volume,,UBERON:0001894,,RightVentralDiencephalon,,ST124SV,,Right-VentralDC,Right-VentralDC,,,ST124SV,Right-VentralDC,,lrvendcv,Right-VentralDC,(Right-VentralDC)Volume_mm3,,,Right-VentralDC,,Right-VentralDC,,Right_VentralDC,Right-VentralDC,Right-VentralDC,
Mother Dementia,,-,4326002.0,MOTHER,,MOTHDEM,,Mother_Dementia,,H035Mother dementia,DEMPRT,FHQMOM,,,family_dementia_history,,FHQMOM,NACCMOM,,,,,,,,,
Father Dementia,,-,4326002.0,FATHER,,FATHDEM,,Father_Dementia,,H039Father dementia,DEMPRT,FHQDAD,,,family_dementia_history,,FHQDAD,NACCDAD,,,,,,,,,
Mother AD,,-,4216175.0,MOTHDIAG,,MOTHAD,Medical History.Mother Reportedly AD,,Mother_Has_Alzheimer's_Disease,,ADPRTDX,FHQMOMAD,Mother_Has_Alzheimer's_Disease,,,Mother_Has_Alzheimer's_Disease,FHQMOMAD,,,Mother_Has_Alzheimer's_Disease,mother_dx_ad_dementia,Mother_Has_Alzheimer's_Disease,,,Mother_Has_Alzheimer's_Disease,Mother_Has_Alzheimer's_Disease,FHQMOMAD
Father AD,,-,4216175.0,FATHDIAG,,FATHAD,Medical History.Father Reportedly AD,,Father_Has_Alzheimer's_Disease,,ADPRTDX,FHQDADAD,Father_Has_Alzheimer's_Disease,,,Father_Has_Alzheimer's_Disease,FHQDADAD,,,Father_Has_Alzheimer's_Disease,father_dx_ad_dementia,Father_Has_Alzheimer's_Disease,,,Father_Has_Alzheimer's_Disease,Father_Has_Alzheimer's_Disease,FHQDADAD
Relatives with Dementia,,-,,,,,,,Relatives_with_dementia,,,,,,,,,NACCFAM,,,,,,,,,
Sibling Dementia,,-,,,,FHQSIB,,Dementia_Sib1,,,DEMSIB,FHQSIB,,,family_dementia_history,,FHQSIB,,,,,,,,,,
Sibling AD,,-,,,,FHQSIBAD,,,,,ADSIBDX,FHQSIBAD,,,,,FHQSIBAD,,,,sibling_dx_ad_dementia,,,,,,
Mother Age Onset,,-,,MOTHAGE,,MOTHSXAGE,,,,,,,,,age_at_diagnosis,,,,,,mother_onset_age,,,,,,
Father Age Onset,,-,,FATHAGE,,FATHSXAGE,,,,,,,,,age_at_diagnosis,,,,,,father_onset_age,,,,,,
Goldman Score,,-,,,,,,,,,,,,,,,,,,,,,,,,,
Cortical Gray Matter Volume,,UBERON:0002020,,,,ST149SV,Image.MR.CorticalGM.Vol.ICVCorr,,,,T1VOLGRY,ST149SV,,,,,CortexVol,GRAYVOL,,,,,,,,,
Cortical White Matter Volume,,EFO:0008320,,,,ST152SV,Image.MR.CorticalWM.Vol.ICVCorr,CorticalWhiteMatterVol,CorticalWhiteMatterVol,,T1VOLWHT,ST152SV,CorticalWhiteMatterVol,,,CorticalWhiteMatterVol,CorticalWhiteMatterVol,WHITEVOL,,CorticalWhiteMatterVol,,CorticalWhiteMatterVol,,,CorticalWhiteMatterVol,CorticalWhiteMatterVol,
Brain Volume,,NCIT:C12439,44784284.0,,,,,,Whole_Brain_Volume(mm^3),,,,Whole_Brain_Volume(mm^3),,,Whole_Brain_Volume(mm^3),,NACCBRNV,,Whole_Brain_Volume(mm^3),,Whole_Brain_Volume(mm^3),,,Whole_Brain_Volume(mm^3),,
White Matter HypoIntensities Volume,,HP:0007103,,,,ST128SV,,WM-hypointensities,WM-hypointensities,,T1VOLWMH,ST128SV,WM-hypointensities,,,WM-hypointensities,(WM-hypointensities)Volume_mm3,,,WM-hypointensities,,WM-hypointensities,,,WM-hypointensities,WM-hypointensities,
Right Cortical Gray Matter Volume,,-,,,,ST148SV,,,,,,ST148SV,,,,,rhCortexVol,,,,,,,,,,
Left Cortical White Matter Volume,,FMA:260794,,,,ST150SV,,,,,,ST150SV,,,,,lhCorticalWhiteMatterVol,,,,,,,,,,
Right Cortical White Matter Volume,,FMA:260791,,,,ST151SV,,,,,,ST151SV,,,,,rhCorticalWhiteMatterVol,,,,,,,,,,
Intracraneal Volume,,EFO:0004886,,IntraCranialVolume,,ST10CV,,EstimatedTotalIntraCranialVol,,,,ST10CV,,,,,ICV,NACCICV,,,,,,EstimatedTotalIntraCranialVol,,,
Left Hippocampus Volume,,FMA:72714,,LeftHippocampus,,ST29SV,,Left-Hippocampus,Hippo_Vol_Sx(mm^3),,T1VOLGRYHIPPOL,ST29SV,Hippo_Vol_Sx(mm^3),Lhippo_FS_adj,lhvl,Hippo_Vol_Sx(mm^3),(Left-Hippocampus)Volume_mm3,LHIPPO,,Hippo_Vol_Sx(mm^3),,Hippo_Vol_Sx(mm^3),,Left_Hippocampus,Hippo_Vol_Sx(mm^3),Hippo_Vol_Sx(mm^3),
Right Hippocampus Volume,,FMA:72713,,RightHippocampus,,ST88SV,,Right-Hippocampus,Hippo_Vol_Dx(mm^3),,T1VOLGRYHIPPOR,ST88SV,Hippo_Vol_Dx(mm^3),Rhippo_FS_adj,lhvr,Hippo_Vol_Dx(mm^3),(Right-Hippocampus)Volume_mm3,RHIPPO,,Hippo_Vol_Dx(mm^3),,Hippo_Vol_Dx(mm^3),,Right_Hippocampus,Hippo_Vol_Dx(mm^3),Hippo_Vol_Dx(mm^3),
Hippocampus Volume,,NCIT:C12444,,,,,Image.MR.Hippocampus.Vol.ICVCorr,,,,,,,Hippo_sum_FS_adj,,,,HIPPOVOL,,,,,,,,,
Smoking,,NCIT:C173060,45880274.0,SMOKE,,MH16SMOK,Medical History.Current smoker,,,H029Smoker,SMOKESTAT,"SHQCURR, SHQEVER",,Smoking,smoking,,MH16SMOK,TOBAC30,,,,,,smoker,,,
Amount of Smoking,,-,,,,MH16ASMOK,Medical History.Cigarettes on average currently,,siga,H030Number per week,,SHQCIGDAY,,SmokingAmount,,,,PACKSPER,,,,,,,,,
Quit Smoking,,-,4052032.0,,,MH16CSMOK,,,,H115Ex smoker,,SHQFSTOP,,,,,,QUITSMOK,,,,,,,,,
Drug Abuse,The use of a drug for a reason other than which it was intended or in a manner or in quantities other than directed.,NCIT:C16522,436954.0,SUBUSE,,MH15DRUG,,,a1,,,POL0,,,drug_abuse,,MH15DRUG,ABUSOTHR,,,,,,,,,EXABUSE
Alcohol,"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",NCIT:C16273,4203148.0,ALCOHOL,,,Medical History.Ever have an alcoholic drink,Alcohol,,,ALCUNITSWK,ASI1B,,Alcohol,lcs22,,MH14ALCH,ALCOCCAS,,,,,,drinker,,,
Alcohol Abuse,"The use of alcoholic beverages to excess, either on individual occasions (\binge drinking\) or as a regular practice.",NCIT:C20701,433753.0,,,MH14ALCH,Medical History.How often,,,,,PADRINKMO,,AlcoholAmount,,,MH14ALCH,ALCOHOL,,,,,,,,,EXABUSE
Activity,"Any form of exercise or movement. Physical activity may include planned activity such as walking, running, basketball, or other sports. Physical activity may also include other daily activities such as household chores, yard work, walking the dog, etc.",NCIT:C17708,4117957.0,AEROBIC,,,Physical Activity.Days per week doing vigorous activity during leisure time,,,,ACTVIGDYWK,,,,physical activity,,,,,,,,phys5itemsum,,,,
Left Entorhinal Gray Matter Volume,,OMIT:0028811,,LeftEntorhinal,,ST24CV,,,,,,ST24CV,,,,,lh_(entorhinal)GrayVol,LENT,,,,,,,,,
Right Entorhinal Gray Matter Volume,,OMIT:0028811,,RightEntorhinal,,ST83CV,,,,,,ST83CV,,,,,rh_(entorhinal)GrayVol,RENT,,,,,,,,,
Left Fusiform Gray Matter Volume,,OMIT:0028811,,LeftFusiform,,ST26CV,,,,,,ST26CV,,,llfusigv,,lh_(fusiform)GrayVol,LFUS,,,,,,,,,
Right Fusiform Gray Matter Volume,,OMIT:0028811,,RightFusiform,,ST85CV,,,,,,ST85CV,,,,,rh_(fusiform)GrayVol,RFUS,,,,,,,,,
Left Middle Temporal Gray Matter Volume,,FMA:72686,,LeftMiddletemporal,,ST40CV,,,lh_middletemporal_volume,,,ST40CV,lh_middletemporal_volume,,llsfgmv,lh_middletemporal_volume,lh_(middletemporal)GrayVol,LMIDTEMP,,lh_middletemporal_volume,,lh_middletemporal_volume,,,lh_middletemporal_volume,lh_middletemporal_volume,
Right Middle Temporal Gray Matter Volume,,FMA:72686,,RightMiddletemporal,,ST99CV,,,rh_middletemporal_volume,,,ST99CV,rh_middletemporal_volume,,lrsfgmv,rh_middletemporal_volume,rh_(middletemporal)GrayVol,RMIDTEMP,,rh_middletemporal_volume,,rh_middletemporal_volume,,,rh_middletemporal_volume,rh_middletemporal_volume,
Left Cerebellum Gray Matter Volume,,FMA:83924,,LeftCerebellarGrayMatter,,ST17SV,,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,,,ST17SV,Left-Cerebellum-Cortex,,llcbev,Left-Cerebellum-Cortex,(Left-Cerebellum-Cortex)Volume_mm3,,,Left-Cerebellum-Cortex,,Left-Cerebellum-Cortex,,Left_Cerebellum_Cortex,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,
Left Cerebellum White Matter Volume,,FMA:83924,,LeftCerebellarWhiteMatter,,ST18SV,,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter,,,ST18SV,Left-Cerebellum-White-Matter,,llcbwmv,Left-Cerebellum-White-Matter,(Left-Cerebellum-White-Matter)Volume_mm3,,,Left-Cerebellum-White-Matter,,Left-Cerebellum-White-Matter,,Left_Cerebellum_White_Matter,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter,
Left Caudate Volume,,FMA:72827,,LeftCaudate,,ST16SV,,Left-Caudate,Left-Caudate,,,ST16SV,Left-Caudate,,llcv,Left-Caudate,(Left-Caudate)Volume_mm3,,,Left-Caudate,,Left-Caudate,,Left_Caudate,Left-Caudate,Left-Caudate,
Left Cortical Gray Matter Volume,,-,,,,ST147SV,,,,,,ST147SV,,,,,lhCortexVol,,,,,,,,,,
Right Pericalcarine Gray Matter Volume,,EFO:0010322,,,,ST107CV,,,rh_pericalcarine_volume,,,ST107CV,rh_pericalcarine_volume,,,rh_pericalcarine_volume,rh_(pericalcarine)GrayVol,RPERCAL,,rh_pericalcarine_volume,,rh_pericalcarine_volume,,,rh_pericalcarine_volume,rh_pericalcarine_volume,
Right Precentral Gray Matter Volume,,NCIT:C33393,,,,ST110CV,,,rh_precentral_volume,,,ST110CV,rh_precentral_volume,,,rh_precentral_volume,rh_(precentral)GrayVol,RPRECEN,,rh_precentral_volume,,rh_precentral_volume,,,rh_precentral_volume,rh_precentral_volume,
Right Rostral Middle Frontal Gray Matter Volume,,EFO:0010328,,,,ST114CV,,,rh_rostralmiddlefrontal_volume,,,ST114CV,rh_rostralmiddlefrontal_volume,,,rh_rostralmiddlefrontal_volume,rh_(rostralmiddlefrontal)GrayVol,RROSMF,,rh_rostralmiddlefrontal_volume,,rh_rostralmiddlefrontal_volume,,,rh_rostralmiddlefrontal_volume,rh_rostralmiddlefrontal_volume,
